"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.169262583E0,1.187498455E0,3.083540869E-1,-5.442249191E-1
1.179285583E0,6.140886211E-1,6.515476388E-1,-4.484147823E-1
1.189309583E0,5.281672955E-2,1.202764074E0,-3.518895310E-1
1.199332583E0,-2.813329339E-2,8.296953428E-1,-1.536706746E-1
1.209355583E0,-1.463023058E-1,-7.844039798E-2,3.783493513E-1
1.219378583E0,-4.929150170E-1,4.631924504E-1,2.153582150E-1
1.229401583E0,2.963421518E-1,7.334560204E-1,-2.245763505E-1
1.239425583E0,6.531421745E-1,5.791439062E-1,-6.673362905E-1
1.249448583E0,5.414770201E-1,3.126786876E-1,-1.083484967E0
1.259471583E0,4.139995328E-1,2.119066036E-1,-1.661322021E0
1.269494583E0,1.702677915E0,1.797107817E0,-3.123363916E0
1.279517583E0,6.723263043E-1,6.881997406E-1,-1.074090246E0
1.289541583E0,-1.028226441E0,-1.285194027E0,6.906994253E-1
1.299564583E0,-1.781084400E0,-1.328733564E0,5.750502706E-1
1.309587583E0,-1.837702989E0,-1.173496420E0,1.835528702E-1
1.319610583E0,-1.712188996E0,-1.120437031E0,-4.933705151E-2
1.329633583E0,-1.193256209E0,-1.085009921E0,-1.685348815E-1
1.339657583E0,-4.036733499E-1,-9.298569775E-1,-6.801364303E-1
1.349680583E0,4.540362954E-3,-9.429401225E-1,-1.081589885E0
1.359703583E0,9.440154254E-2,-1.159528007E0,-6.158959955E-1
1.369726583E0,3.468682346E-1,-1.389103142E0,-2.718101585E-1
1.379749708E0,5.299840254E-1,-1.429137858E0,-4.822754234E-1
1.389772708E0,5.290736139E-2,-1.581769482E0,-9.703799361E-1
1.399796708E0,-9.255893871E-1,-1.885586130E0,-7.189286131E-1
1.409819708E0,-1.701562851E0,-2.099027628E0,-6.281494206E-1
1.419842708E0,-1.844386649E0,-2.288378012E0,-1.025399897E0
1.429865708E0,-1.583494411E0,-2.431824245E0,-1.011993985E0
1.439888708E0,-1.323573104E0,-2.498765509E0,-7.419678122E-1
