"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.392092792E0,-3.410174251E-1,2.515057921E-1,-5.812781304E-2
2.402115792E0,-2.877890766E-1,2.770974338E-1,-6.791493297E-2
2.412138792E0,-2.489527315E-1,3.585782647E-1,-9.484738857E-2
2.422161792E0,-2.001998425E-1,4.451088905E-1,-1.550449580E-1
2.432184792E0,-1.716221422E-1,5.023346543E-1,-2.292873412E-1
2.442208792E0,-1.848993301E-1,5.849943757E-1,-3.123931289E-1
2.452231792E0,-2.300827205E-1,6.873005629E-1,-4.063135684E-1
2.462254792E0,-2.945218980E-1,7.826207280E-1,-5.004121065E-1
2.472277792E0,-3.430186510E-1,8.212131858E-1,-5.709764957E-1
2.482300792E0,-3.931587934E-1,8.278207779E-1,-6.141114831E-1
2.492324792E0,-4.434320033E-1,8.133502603E-1,-6.260869503E-1
2.502347792E0,-4.884037375E-1,7.956178784E-1,-6.248787045E-1
2.512370792E0,-5.407347083E-1,7.847418785E-1,-6.247966290E-1
2.522393792E0,-5.925763249E-1,7.659218311E-1,-6.305189729E-1
2.532416792E0,-6.106164455E-1,6.834696531E-1,-6.250786185E-1
2.542440792E0,-6.137371063E-1,5.619367957E-1,-5.750911236E-1
2.552463792E0,-6.043409705E-1,4.745688736E-1,-4.861766696E-1
2.562486792E0,-6.068975925E-1,4.043154716E-1,-4.090254307E-1
2.572509792E0,-6.257045865E-1,3.366627097E-1,-3.711761236E-1
2.582532792E0,-6.291802526E-1,2.663054466E-1,-3.607650101E-1
2.592556792E0,-6.069697142E-1,2.165834308E-1,-3.728387058E-1
2.602579792E0,-5.575579405E-1,1.935638636E-1,-3.689379692E-1
2.612602792E0,-5.105586052E-1,2.203601301E-1,-3.337235451E-1
2.622625792E0,-4.802185297E-1,2.578949928E-1,-2.944195569E-1
2.632648792E0,-4.503907263E-1,2.583002150E-1,-2.449688166E-1
2.642672792E0,-4.321715236E-1,2.509035468E-1,-1.834175736E-1
2.652695792E0,-4.167084694E-1,2.627043426E-1,-1.354659349E-1
2.662718792E0,-3.798255324E-1,3.146421015E-1,-1.215930060E-1
2.672741792E0,-3.353757262E-1,3.847800195E-1,-1.490745693E-1
2.682764792E0,-3.171551824E-1,4.773959816E-1,-1.864008904E-1
2.692788792E0,-2.789218426E-1,6.200520992E-1,-2.197659016E-1
2.702811792E0,-2.400567234E-1,6.740282178E-1,-2.646425664E-1
2.712834792E0,-1.492322087E-1,6.936255097E-1,-1.408345550E-1
2.722857792E0,-2.036613673E-1,6.548304558E-1,-4.974059016E-2
2.732880792E0,-3.434794545E-1,7.427552342E-1,-9.082537144E-2
2.742904792E0,-4.056813121E-1,8.081613779E-1,-1.983217299E-1
2.752927792E0,-4.976156652E-1,7.948540449E-1,-2.632972896E-1
2.762950792E0,-6.087190509E-1,6.849384308E-1,-2.284705937E-1
2.772973792E0,-6.802917719E-1,5.234034061E-1,-8.908268064E-2
2.782996792E0,-7.650055885E-1,3.253182173E-1,7.200953364E-2
2.793019792E0,-8.432052732E-1,1.513844430E-1,1.436280459E-1
2.803043792E0,-8.567775488E-1,-1.220289338E-2,1.492060274E-1
2.813066792E0,-8.158409595E-1,-1.343094409E-1,1.421108246E-1
2.823089792E0,-7.854305506E-1,-1.850570440E-1,1.502095014E-1
2.833112792E0,-7.608405948E-1,-1.750630140E-1,1.770306826E-1
2.843135792E0,-7.407667637E-1,-1.082432345E-1,1.849123091E-1
2.853159792E0,-7.881636024E-1,-4.016619921E-2,1.392406225E-1
2.863182792E0,-9.044358730E-1,8.104396984E-3,4.664491117E-2
