"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.525086708E0,-3.854334869E0,3.676953735E0,-5.389692078E0
1.535109708E0,-4.138144684E0,4.890480194E0,-6.315816193E0
1.545132708E0,-5.528902588E0,6.775360565E0,-6.572382660E0
1.555155708E0,-5.289250946E0,6.530918884E0,-5.677842865E0
1.565178708E0,-4.205654297E0,5.121150513E0,-4.868475952E0
1.575202708E0,-3.653302917E0,4.081113281E0,-3.916605377E0
1.585225708E0,-3.359014893E0,3.982318726E0,-4.098177795E0
1.595248708E0,-3.683240662E0,4.239783325E0,-4.395758972E0
1.605271708E0,-4.350702667E0,4.487069092E0,-4.948110352E0
1.615294708E0,-4.953199768E0,4.417613525E0,-4.816084900E0
1.625317708E0,-4.926405487E0,4.403542786E0,-5.223836975E0
1.635341708E0,-4.373455353E0,4.357588348E0,-5.633235626E0
1.645364708E0,-3.644321594E0,4.408183136E0,-5.913303223E0
1.655387708E0,-2.972069550E0,4.749623108E0,-6.328240356E0
1.665410708E0,-2.477947083E0,4.774471436E0,-6.861281891E0
1.675433708E0,-2.450254669E0,4.390519867E0,-7.620652771E0
1.685457708E0,-2.687062225E0,4.250710602E0,-7.608827362E0
1.695480708E0,-2.822231140E0,3.964805145E0,-7.797285461E0
1.705503708E0,-2.828667755E0,3.788771210E0,-8.199199677E0
1.715526708E0,-2.580334167E0,3.523373108E0,-7.767198029E0
1.725549708E0,-2.615960083E0,3.349734192E0,-8.076454926E0
1.735573708E0,-3.012485504E0,3.449426880E0,-8.212971039E0
1.745596708E0,-3.273093567E0,3.615581360E0,-8.512797546E0
1.755619708E0,-3.772904205E0,3.263962555E0,-8.072712708E0
1.765642708E0,-4.201762390E0,3.314407654E0,-8.559051361E0
1.775665708E0,-4.561763763E0,3.445834351E0,-9.019493866E0
1.785689708E0,-4.525239716E0,3.595373383E0,-9.456135864E0
1.795712708E0,-4.081412659E0,3.615431671E0,-9.750573578E0
1.805735708E0,-3.965703278E0,3.809278564E0,-9.858050079E0
1.815758708E0,-4.107757874E0,4.211492157E0,-1.006611740E1
1.825781708E0,-4.220174103E0,4.777016144E0,-1.001567230E1
1.835805708E0,-4.239783325E0,5.278173981E0,-9.612710266E0
1.845828708E0,-4.603377228E0,5.645659790E0,-9.210496674E0
1.855851708E0,-5.259313202E0,5.419180756E0,-8.863069153E0
1.865874708E0,-5.910010071E0,5.215005341E0,-8.801397400E0
1.875897708E0,-6.263574829E0,5.400619354E0,-9.255552979E0
1.885920708E0,-6.705605621E0,5.781277771E0,-9.998308411E0
1.895944708E0,-6.177653503E0,4.777764587E0,-9.337283020E0
1.905967708E0,-5.941594391E0,4.058061218E0,-9.050778809E0
1.915990708E0,-5.428910522E0,3.841910706E0,-9.269773407E0
1.926013708E0,-5.437143402E0,3.892355804E0,-9.673184509E0
1.936036708E0,-5.611979828E0,4.140689392E0,-1.027837601E1
1.946060708E0,-5.635331268E0,4.019142151E0,-1.020592667E1
1.956083708E0,-5.647456055E0,3.690276031E0,-9.906100159E0
1.966106708E0,-5.423072662E0,3.620670776E0,-9.664053497E0
1.976129708E0,-4.761747894E0,3.725153503E0,-9.623637543E0
1.986152708E0,-4.262835388E0,3.853586426E0,-9.763446808E0
1.996176708E0,-4.432881775E0,4.040098572E0,-9.950258331E0
2.006199708E0,-4.931644592E0,4.058360596E0,-9.780661011E0
2.016222708E0,-5.270539856E0,3.957171021E0,-9.472751312E0
2.026245708E0,-5.222190399E0,3.922592926E0,-9.203161926E0
2.036268708E0,-5.250331879E0,3.883673859E0,-8.818611603E0
2.046291708E0,-5.446124725E0,3.847000122E0,-8.519383850E0
2.056315708E0,-5.477409668E0,3.931125183E0,-8.427175598E0
2.066338708E0,-5.928571472E0,3.946543121E0,-8.323141937E0
2.076361708E0,-6.321803741E0,3.831731873E0,-8.150550842E0
2.086384708E0,-6.302643585E0,3.803590393E0,-7.952512665E0
