"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.662718792E0,1.371237183E1,-6.627899170E0,4.756387329E1
2.672741792E0,1.343131447E1,-6.547271729E0,4.778678894E1
2.682764792E0,1.344617271E1,-6.952575684E0,4.759925842E1
2.692788792E0,1.302763557E1,-7.068023682E0,4.710539246E1
2.702811792E0,1.283183098E1,-7.099487305E0,4.711410522E1
2.712834792E0,1.242264366E1,-7.237548828E0,4.745126343E1
2.722857792E0,1.198040771E1,-7.155181885E0,4.773495483E1
2.732880792E0,1.176140785E1,-7.379272461E0,4.765017700E1
2.742904792E0,1.140896416E1,-7.448516846E0,4.767570496E1
2.752927792E0,1.121631813E1,-7.628692627E0,4.772531128E1
2.762950792E0,1.095249176E1,-7.702239990E0,4.770364380E1
2.772973792E0,1.078959465E1,-8.176361084E0,4.813276672E1
2.782996792E0,1.021957016E1,-8.414031982E0,4.795816040E1
2.793019792E0,1.017292595E1,-8.569610596E0,4.814434814E1
2.803043792E0,1.016680145E1,-9.055969238E0,4.791909790E1
2.813066792E0,1.017493629E1,-9.228363037E0,4.782028198E1
2.823089792E0,9.922319412E0,-9.669464111E0,4.802966309E1
2.833112792E0,9.855422974E0,-9.999877930E0,4.787809753E1
2.843135792E0,1.012810135E1,-1.070822144E1,4.789271545E1
2.853159792E0,1.045424461E1,-1.096701050E1,4.750886536E1
2.863182792E0,1.048389626E1,-1.134161377E1,4.765614319E1
2.873205792E0,1.046086693E1,-1.238381958E1,4.699948120E1
2.883228792E0,1.048790932E1,-1.280960083E1,4.697993469E1
2.893251792E0,1.014497375E1,-1.339819336E1,4.683863831E1
2.903275792E0,1.038704491E1,-1.372753906E1,4.701187134E1
2.913298792E0,1.026033592E1,-1.403649902E1,4.660635376E1
2.923321792E0,1.032569313E1,-1.435372925E1,4.666029358E1
2.933344792E0,1.021102142E1,-1.472183228E1,4.678546143E1
2.943367792E0,9.932086945E0,-1.493029785E1,4.673249817E1
2.953391792E0,1.007760239E1,-1.518133545E1,4.653991699E1
2.963414792E0,9.696241379E0,-1.560287476E1,4.621496582E1
2.973437792E0,9.499206543E0,-1.583261108E1,4.613601685E1
2.983460792E0,9.460474014E0,-1.615191650E1,4.613572693E1
2.993483792E0,9.472919464E0,-1.640402222E1,4.647778320E1
3.003507792E0,9.548812866E0,-1.649328613E1,4.615988159E1
3.013530792E0,9.301082611E0,-1.658093262E1,4.598446655E1
3.023553792E0,9.020999908E0,-1.696966553E1,4.577923584E1
3.033576792E0,8.976064682E0,-1.717529297E1,4.611622620E1
3.043599792E0,8.838111877E0,-1.701373291E1,4.589002991E1
3.053622792E0,8.732971191E0,-1.739120483E1,4.567366028E1
3.063646792E0,8.754024506E0,-1.770452881E1,4.533831787E1
3.073669792E0,8.650344849E0,-1.765969849E1,4.562092590E1
3.083692792E0,8.447074890E0,-1.768716431E1,4.556188965E1
3.093715792E0,8.579347610E0,-1.780371094E1,4.581948853E1
3.103738792E0,8.071891785E0,-1.790335083E1,4.555822754E1
3.113762792E0,8.291240692E0,-1.809710693E1,4.549163818E1
3.123785792E0,8.147193909E0,-1.811364746E1,4.559088135E1
3.133808792E0,8.119667053E0,-1.803176880E1,4.557757568E1
3.143831792E0,7.790628433E0,-1.822631836E1,4.567735291E1
3.153854792E0,7.603223801E0,-1.812322998E1,4.606626892E1
3.163878792E0,7.258090973E0,-1.818411255E1,4.576351929E1
3.173901792E0,7.210863113E0,-1.806881714E1,4.592431641E1
3.183924792E0,7.166179657E0,-1.788067627E1,4.577914429E1
3.193947792E0,7.111633301E0,-1.817810059E1,4.566867065E1
3.203970792E0,7.064527512E0,-1.854617310E1,4.557170105E1
3.213994792E0,6.914354324E0,-1.865173340E1,4.562536621E1
3.224017792E0,6.730066299E0,-1.848178101E1,4.601602173E1
3.234040792E0,7.066869736E0,-1.886840820E1,4.617572021E1
3.244063792E0,6.746763229E0,-1.901248169E1,4.617871094E1
3.254086792E0,6.469276428E0,-1.952835083E1,4.570120239E1
3.264110792E0,6.239038467E0,-2.012005615E1,4.542657471E1
3.274133792E0,6.165117264E0,-2.042382812E1,4.557666016E1
3.284156792E0,6.203645706E0,-2.073034668E1,4.515118408E1
3.294179792E0,6.179735184E0,-2.129705811E1,4.505305481E1
3.304202792E0,5.924100876E0,-2.180325317E1,4.460871887E1
3.314226792E0,5.899177551E0,-2.238275146E1,4.432890320E1
3.324249792E0,6.015762329E0,-2.317504883E1,4.410322571E1
3.334272792E0,5.938562393E0,-2.355535889E1,4.378831482E1
3.344295792E0,5.873472214E0,-2.405953979E1,4.306436157E1
