"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.834548247E1,4.381491612E1,-1.117849281E2,1.508325661E3,2.828333701E-1,-1.000000000E0,4.821424233E0,4.821424233E0
6.934548187E1,4.381492123E1,-1.117849326E2,1.507698229E3,2.404625831E-1,3.476862322E2,4.832027647E0,4.832027647E0
7.034548175E1,4.381492475E1,-1.117849372E2,1.507471400E3,5.962343069E-1,2.786779191E2,4.820251055E0,4.820251055E0
7.134548187E1,4.381492677E1,-1.117849496E2,1.508059397E3,8.973261514E-1,2.636693025E2,4.828634184E0,4.828634184E0
7.234548199E1,4.381492405E1,-1.117849465E2,1.508304881E3,3.549788531E-1,-1.000000000E0,4.825864985E0,4.825864985E0
7.334548175E1,4.381492673E1,-1.117849379E2,1.508531141E3,4.782332992E-1,7.039902765E1,4.823139938E0,4.823139938E0
7.434548175E1,4.381492988E1,-1.117849352E2,1.508307427E3,2.535634545E-1,-1.000000000E0,4.820025242E0,4.820025242E0
7.534548175E1,4.381493981E1,-1.117849333E2,1.508050206E3,5.827017389E-1,1.350816823E1,4.820650506E0,4.820650506E0
7.634548128E1,4.381493174E1,-1.117849310E2,1.508100498E3,1.064308961E-1,-1.000000000E0,4.819575266E0,4.819575266E0
7.734548104E1,4.381492886E1,-1.117849221E2,1.508527348E3,2.366284379E-1,-1.000000000E0,4.820982609E0,4.820982609E0
7.834548140E1,4.381492942E1,-1.117849212E2,1.509586875E3,5.022385653E-1,-1.000000000E0,4.820195758E0,4.820195758E0
7.934548092E1,4.381492567E1,-1.117849159E2,1.508950503E3,2.477433268E-1,-1.000000000E0,4.820584759E0,4.820584759E0
8.034548020E1,4.381492764E1,-1.117849212E2,1.508510748E3,1.442355580E-1,-1.000000000E0,4.821347170E0,4.821347170E0
8.134547985E1,4.381492447E1,-1.117849235E2,1.508325571E3,1.965317214E-1,-1.000000000E0,4.815612840E0,4.815612840E0
8.234547925E1,4.381492735E1,-1.117849166E2,1.508228189E3,2.088667685E-1,-1.000000000E0,4.819993063E0,4.819993063E0
8.334547901E1,4.381492449E1,-1.117849161E2,1.508003775E3,1.091750862E-1,-1.000000000E0,4.826439028E0,4.826439028E0
8.434548032E1,4.381492281E1,-1.117849209E2,1.508015455E3,1.288675628E-1,-1.000000000E0,4.815933436E0,4.815933436E0
8.534548163E1,4.381492338E1,-1.117849197E2,1.507920166E3,1.176653255E-1,-1.000000000E0,4.840041567E0,4.840041567E0
8.634547901E1,4.381492141E1,-1.117849220E2,1.507855343E3,1.240908057E-1,-1.000000000E0,4.851549189E0,4.851549189E0
8.734548151E1,4.381492410E1,-1.117849178E2,1.507773576E3,9.641196099E-2,-1.000000000E0,4.851878587E0,4.851878587E0
8.834547913E1,4.381492359E1,-1.117849180E2,1.507664107E3,1.006787100E-1,-1.000000000E0,4.888855002E0,4.888855002E0
8.934547937E1,4.381492312E1,-1.117849200E2,1.507647387E3,8.714591975E-2,-1.000000000E0,4.913006242E0,4.913006242E0
9.034547806E1,4.381492912E1,-1.117849238E2,1.507607325E3,2.632630324E-1,-1.000000000E0,4.891188960E0,4.891188960E0
9.134547806E1,4.381493559E1,-1.117849183E2,1.508112189E3,2.954551504E-1,-1.000000000E0,4.869096737E0,4.869096737E0
9.234547842E1,4.381493488E1,-1.117849139E2,1.508009395E3,2.230317672E-1,-1.000000000E0,4.867424426E0,4.867424426E0
9.334547722E1,4.381492563E1,-1.117848955E2,1.508014523E3,1.045498970E0,1.050321186E2,4.858939919E0,4.858939919E0
9.434547758E1,4.381491590E1,-1.117848870E2,1.508018643E3,7.898822847E-1,9.686957624E1,4.855102446E0,4.855102446E0
9.534547770E1,4.381491198E1,-1.117848715E2,1.508364860E3,1.072949194E0,9.282557740E1,4.845160043E0,4.845160043E0
9.634547675E1,4.381490376E1,-1.117848575E2,1.508530457E3,1.166752153E0,9.973288127E1,4.843017575E0,4.843017575E0
9.734547663E1,4.381490113E1,-1.117848589E2,1.508684230E3,5.165469757E-1,7.903187416E1,4.837553701E0,4.837553701E0
9.834547651E1,4.381490445E1,-1.117848658E2,1.508607633E3,2.858781234E-1,-1.000000000E0,4.840735259E0,4.840735259E0
9.934547639E1,4.381491101E1,-1.117848676E2,1.508611866E3,1.360379351E-1,-1.000000000E0,4.840305179E0,4.840305179E0
1.003454760E2,4.381491873E1,-1.117848516E2,1.508480896E3,4.756897770E-2,-1.000000000E0,4.837232976E0,4.837232976E0
1.013454764E2,4.381491684E1,-1.117848650E2,1.508850705E3,8.383703979E-1,2.382877517E2,4.829807393E0,4.829807393E0
1.023454763E2,4.381491605E1,-1.117848710E2,1.508792550E3,1.977664228E-1,-1.000000000E0,4.829980784E0,4.829980784E0
1.033454746E2,4.381492598E1,-1.117848840E2,1.509098587E3,7.114589468E-1,2.874766553E0,4.833052812E0,4.833052812E0
1.043454756E2,4.381492854E1,-1.117848522E2,1.509405073E3,1.240641235E0,9.167596944E1,4.826860956E0,4.826860956E0
1.053454753E2,4.381492022E1,-1.117848683E2,1.508906214E3,1.083867580E0,2.181715144E2,4.821376792E0,4.821376792E0
1.063454750E2,4.381492125E1,-1.117848997E2,1.508012656E3,1.790070749E0,2.718738845E2,4.816246586E0,4.816246586E0
1.073454744E2,4.381491585E1,-1.117848835E2,1.507964273E3,5.035889067E-1,1.962242073E2,4.821859794E0,4.821859794E0
1.083454746E2,4.381491480E1,-1.117849128E2,1.508972466E3,9.018651780E-1,2.607049818E2,4.814516120E0,4.814516120E0
1.093454741E2,4.381492206E1,-1.117849042E2,1.509858631E3,5.586501062E-1,3.218124973E2,4.813797592E0,4.813797592E0
1.103454740E2,4.381493414E1,-1.117849396E2,1.508753769E3,1.687547155E0,3.049366721E2,4.819801864E0,4.819801864E0
1.113454729E2,4.381492155E1,-1.117849419E2,1.508599805E3,4.905702966E-1,2.172841533E2,4.812668633E0,4.812668633E0
1.123454735E2,4.381491245E1,-1.117849444E2,1.508119964E3,2.891989672E-1,1.903026368E2,4.817347215E0,4.817347215E0
1.127928222E2,4.381490669E1,-1.117849192E2,1.508008760E3,8.944580435E-2,-1.000000000E0,4.842629765E0,4.842629765E0
