timestamp,X,Y,Z,timestamp,X,Y,Z,timestamp,X,Y,Z,timestamp,X,Y,Z,timestamp,latitude,longitude,altitude,speed,course,hacc
1688555095732.0,-1.000968,-4.936435,9.057964,1688555095708.0,-0.722888,-1.098567,1.73945,1688555095722.0,-11.487122,34.749817,-36.130264,1688555095723.0,142.101973,26.272206,-2.202679,,,,,,,
1688555095832.0,1.116977,-6.98702,9.398655,1688555095808.0,-0.290739,-1.272169,2.523921,1688555095823.0,-15.353516,43.336884,-39.469604,1688555095823.0,126.67015,29.59559,-1.885769,,,,,,,
1688555095933.0,0.857417,-1.984573,10.524464,1688555095908.0,0.469756,-2.4481,4.239533,1688555095923.0,-1.764236,54.407959,-44.143814,1688555095923.0,101.903485,27.183638,1.866957,,,,,,,
1688555096033.0,2.411036,-1.518442,8.010592,1688555096008.0,2.278573,-1.46488,2.908293,1688555096023.0,9.058327,42.510925,-52.096237,1688555096024.0,77.556108,15.916411,-3.13325,,,,,,,
1688555096133.0,-0.433648,-1.886826,10.567874,1688555096108.0,0.893718,0.445294,4.484402,1688555096123.0,18.373863,33.014313,-59.041763,1688555096124.0,56.908537,11.102095,-0.376332,,,,,,,
1688555096233.0,-1.106499,-0.395627,8.389304,1688555096209.0,0.140144,-0.646831,3.640407,1688555096224.0,27.238632,22.155731,-65.931107,1688555096224.0,34.028316,9.443951,3.933828,,,,,,,
1688555096334.0,-2.312242,-1.360521,10.712324,1688555096309.0,-0.15705,-0.6401,2.710654,1688555096324.0,28.155762,10.468994,-73.297409,1688555096324.0,15.894236,8.31007,8.312224,,,,,,,
1688555096434.0,-1.891766,3.874992,8.586145,1688555096409.0,0.680166,0.630355,1.423782,1688555096424.0,22.445236,-0.892456,-76.869736,1688555096425.0,6.262835,4.271471,8.866028,,,,,,,
1688555096534.0,-1.438509,-1.943409,10.884166,1688555096509.0,0.069082,0.001219,1.669535,1688555096524.0,20.543106,-14.0867,-73.340897,1688555096525.0,-3.513538,2.22843,9.64579,,,,,,,
1688555096634.0,-0.02395,-0.205373,8.153395,1688555096610.0,0.161628,-0.120867,1.915431,1688555096624.0,14.646721,-19.408173,-66.367783,1688555096625.0,-11.482244,-0.143965,6.767342,,,,,,,
1688555096734.0,-6.758146,-2.292782,9.979747,1688555096710.0,-0.070597,-0.288622,1.344991,1688555096725.0,15.424622,-21.324036,-62.745773,1688555096725.0,-22.905248,-0.481145,12.780271,,,,,,,
1688555096835.0,-3.750451,-0.350721,4.681066,1688555096810.0,1.265434,0.893227,3.348863,1688555096825.0,16.272408,-21.821472,-61.874191,1688555096825.0,-39.813578,-6.545985,12.116113,,,,,,,
1688555096935.0,-4.4242,2.396217,10.196197,1688555096910.0,2.125389,0.201075,2.744307,1688555096925.0,20.210648,-27.275848,-56.168015,1688555096926.0,-55.726597,-13.185486,10.632859,,,,,,,
