Time_s,delta_e,yRate_rad_s
1.399553299,0,-0.381962568
1.403046608,0,-0.380791962
1.406513691,0,-0.379604727
1.409920692,0,-0.378414482
1.416138172,0,-0.376202047
1.419576645,0,-0.374940008
1.423150063,0,-0.373608083
1.426566124,0,-0.372315556
1.432554722,0,-0.370019019
1.436003685,0,-0.368667215
1.439611912,0,-0.367236853
1.443135738,0,-0.365824312
1.449189186,0,-0.363372952
1.452697277,0,-0.361929178
1.456270695,0,-0.360446036
1.459787369,0,-0.358974665
1.465866566,0,-0.356412262
1.469385624,0,-0.354911357
1.473178864,0,-0.353283584
1.476712704,0,-0.351757795
1.480464458,0,-0.350129306
1.486754894,0,-0.347384632
1.490317822,0,-0.345817566
1.493843555,0,-0.344260693
1.497388363,0,-0.342689693
1.503745556,0,-0.339862853
1.507302284,0,-0.338272661
1.510884762,0,-0.336666763
1.517380714,0,-0.333747923
1.520913124,0,-0.332154572
1.524374485,0,-0.330590576
1.528044701,0,-0.328929722
1.533573627,0,-0.326424271
1.537044525,0,-0.324848592
1.540489674,0,-0.323283225
1.543996811,0,-0.321688563
1.549894333,0,-0.31900543
1.553346157,0,-0.317433834
1.5568223,0,-0.315850794
1.560345173,0,-0.314246327
1.566445827,0,-0.311467826
1.569892883,0,-0.309898257
1.573358536,0,-0.308320671
1.57674408,0,-0.306780159
1.582853794,0,-0.304001421
1.586304665,0,-0.302433521
1.589756489,0,-0.300866306
1.593212128,0,-0.299298584
1.599370956,0,-0.296506912
1.602816105,0,-0.294947863
1.606361866,0,-0.293344915
1.609873295,0,-0.291759282
1.615298271,0,-0.289312422
1.618770123,0,-0.287749439
1.622209072,0,-0.286203235
1.625830173,0,-0.28457728
1.629257679,0,-0.283040464
1.635145187,0,-0.280404299
1.63858366,0,-0.278868496
1.642086983,0,-0.27730605
1.645565033,0,-0.275757283
1.651004791,0,-0.273338795
1.654455185,0,-0.271808624
1.657876492,0,-0.270293832
1.661475658,0,-0.268702924
1.667011738,0,-0.266260117
1.67048645,0,-0.264731079
1.674045086,0,-0.263167858
1.677724838,0,-0.26155436
1.683609962,0,-0.258978695
1.687137604,0,-0.257439494
1.691664219,0,-0.255468071
1.695094585,0,-0.253977656
1.701629639,0,-0.251143515
1.705111504,0,-0.249638766
1.709617615,0,-0.247695029
1.713191986,0,-0.246156976
1.718616486,0,-0.243827358
1.722074509,0,-0.242346674
1.725586414,0,-0.24084577
1.729115963,0,-0.239340246
1.73462534,0,-0.236994803
1.738080502,0,-0.23552835
1.741663933,0,-0.234010369
1.745206356,0,-0.232512742
1.750663757,0,-0.230210066
1.75413847,0,-0.228748411
1.757605553,0,-0.227292776
1.761060715,0,-0.225844949
1.766690731,0,-0.223490313
1.770145893,0,-0.222049788
1.773596764,0,-0.220613822
1.777125359,0,-0.219148323
1.783061981,0,-0.21668756
1.786494732,0,-0.215269357
1.7899189,0,-0.213857383
1.793268204,0,-0.212478906
1.799530983,0,-0.209906101
1.802937508,0,-0.208511516
1.806412697,0,-0.207091495
1.809844494,0,-0.205691889
1.815972328,0,-0.203197464
1.819430351,0,-0.201794565
1.822916031,0,-0.200383127
1.82638979,0,-0.198979199
1.832499027,0,-0.19651483
1.835959435,0,-0.195123613
1.839501381,0,-0.193702295
1.842971802,0,-0.192312375
1.846439838,0,-0.19092603
1.851898193,0,-0.188748166
1.855385303,0,-0.187360927
1.85889864,0,-0.185965896
1.862441063,0,-0.184561983
1.867874146,0,-0.182412893
1.871355534,0,-0.18103984
1.874836445,0,-0.179669544
1.878334999,0,-0.178294882
1.883847713,0,-0.176132888
1.887353897,0,-0.174761876
1.891312599,0,-0.173216835
1.89495182,0,-0.171799481
1.901108265,0,-0.169406429
1.904557705,0,-0.168070018
1.90948391,0,-0.166164964
1.913079739,0,-0.164778039
1.918515205,-1,-0.108549908
1.921886921,-1,-0.074012466
1.926679611,-1,-0.025230143
1.930124283,-1,0.009509794
1.9363904,-1,0.072277188
1.939864159,-1,0.1066394
1.944207191,-1,0.149295896
1.950135231,-1,0.206998646
1.95360899,-1,0.240393668
1.957032681,-1,0.273065627
1.960426331,-1,0.305214971
1.966263771,-1,0.3601138
1.969717979,-1,0.392191619
1.97322607,-1,0.424526095
1.976706028,-1,0.456356704
1.982833862,-1,0.511981785
1.986295223,-1,0.542981148
1.989803314,-1,0.574160159
1.993123531,-1,0.603441536
1.998771191,-1,0.652884126
2.002213478,-1,0.682643712
2.005774975,-1,0.713199079
2.009251118,-1,0.742786467
2.012922764,-1,0.77379638
2.01828289,-1,0.818696797
2.021690845,-1,0.846903205
2.02512598,-1,0.875117958
2.028594971,-1,0.9033916
2.033934116,-1,0.946569145
2.037371159,-1,0.974030972
2.040832996,-1,1.001476645
2.044405937,-1,1.029581785
2.049837112,-1,1.071958542
2.053256989,-1,1.098313451
2.056723595,-1,1.124820471
2.060248852,-1,1.151562691
2.065852165,-1,1.193725824
2.069265366,-1,1.219078779
2.072723389,-1,1.244562387
2.076340199,-1,1.271003008
2.082410336,-1,1.315006018
2.085841656,-1,1.339528203
2.089294434,-1,1.364005208
2.092986107,-1,1.389963031
2.098860264,-1,1.430906415
2.102432728,-1,1.455459595
2.107191563,-1,1.487887025
2.110574722,-1,1.510676742
2.116393566,-1,1.549552917
2.119786263,-1,1.571899176
2.124396801,-1,1.602014303
2.127921581,-1,1.624775887
2.134181023,-1,1.664842963
2.137613297,-1,1.686469793
2.141117096,-1,1.708356023
2.144707203,-1,1.73058188
2.150166512,-1,1.764069796
2.153470516,-1,1.784052372
2.157074928,-1,1.805664659
2.16067934,-1,1.827073336
2.164365292,-1,1.848758578
2.170172691,0,1.817297816
2.173667908,0,1.798578858
2.177147865,0,1.780082703
2.183068275,0,1.748863578
2.18651104,0,1.730962515
2.189935207,0,1.713310957
2.193265915,0,1.696291566
2.199457645,0,1.664928555
2.202907085,0,1.647744775
2.206389427,0,1.630561829
2.209783554,0,1.613977194
2.215957642,0,1.584098697
2.219399929,0,1.567734599
2.22287178,0,1.551395535
2.226299286,0,1.535429597
2.232350349,0,1.507528424
2.235817909,0,1.491827726
2.239257812,0,1.47641468
2.24277544,0,1.460817218
2.246251583,0,1.445568204
2.251757622,0,1.421670318
2.255115032,0,1.407343388
2.25861454,0,1.392564058
2.262169361,0,1.377712727
2.267616749,0,1.355204225
2.27107954,0,1.341136932
2.274585724,0,1.327046275
2.278053284,0,1.313262463
2.28344059,0,1.292078257
2.286912441,0,1.278654933
2.290442944,0,1.265152454
2.29366684,0,1.252958298
2.299594879,0,1.230761528
2.302995205,0,1.218265057
2.306792259,0,1.204458714
2.310416698,0,1.19143641
2.316043377,0,1.171449304
2.319499016,0,1.159390092
2.323897362,0,1.144206882
2.327397823,0,1.13228941
2.333972454,0,1.110150814
2.337460518,0,1.098646998
2.341914654,0,1.084117293
2.345419884,0,1.072842121
2.350871086,0,1.055499554
2.354469776,0,1.044245601
2.358056545,0,1.033155084
2.361635685,0,1.022212148
2.367068291,0,1.005787849
2.370566368,0,0.995391488
2.374032974,0,0.98520112
2.377472878,0,0.975198567
2.383075237,0,0.959082663
2.386462688,0,0.949508369
2.38992548,0,0.939824343
2.393309116,0,0.930463672
2.399369717,0,0.913873911
2.40283823,0,0.90455848
2.406293869,0,0.895377636
2.409640789,0,0.886581123
2.415811062,0,0.870532691
2.419274807,0,0.861696243
2.422743797,0,0.852941513
2.426381111,0,0.843860686
2.429625511,0,0.835852027
2.435012817,0,0.822687328
2.438434601,0,0.814465106
2.442001343,0,0.805985212
2.445455551,0,0.797863364
2.450912476,0,0.785169482
2.454352856,0,0.777301311
2.457845688,0,0.769397914
2.461281776,0,0.761706591
2.466741085,0,0.749615908
2.47015667,0,0.742178559
2.473642826,0,0.734667301
2.477035999,0,0.727434695
2.482526302,0,0.715853989
2.486002445,0,0.708645344
2.489486694,0,0.701496899
2.492853642,0,0.694662869
2.498961449,0,0.682393432
2.502380371,0,0.675653815
2.505867958,0,0.66885072
2.509319305,0,0.66219002
2.514771461,0,0.651778817
2.518193722,0,0.645352483
2.521771431,0,0.6387043
2.525540829,0,0.631776214
2.529123783,0,0.625266314
2.535699844,0,0.613448322
2.539196014,0,0.607290745
2.542963505,0,0.600725651
2.548612118,0,0.590994954
2.552020073,0,0.585224569
2.556639671,0,0.577483177
2.560001373,0,0.571928322
2.563591003,0,0.566057026
2.569419384,0,0.556627154
2.572925568,0,0.551054001
2.577449322,0,0.543939233
2.583090305,0,0.5351879
2.586576462,0,0.529871106
2.590117455,0,0.524527073
2.593537807,0,0.519419849
2.599371433,0,0.510798275
2.602770805,0,0.505861878
2.606303215,0,0.500784338
2.60963726,0,0.496042401
2.615851879,0,0.487291217
2.61929512,0,0.482532233
2.622744083,0,0.477814078
2.626235008,0,0.47308737
2.632295609,0,0.464966238
2.635735512,0,0.460439533
2.639194965,0,0.455933362
2.642676353,0,0.451444954
2.646152973,0,0.447008699
2.651606083,0,0.440121651
2.655068874,0,0.435818464
2.658533096,0,0.431557298
2.662174225,0,0.427124053
2.667629719,0,0.420552611
2.671105385,0,0.416432858
2.674575806,0,0.412361085
2.678078175,0,0.408293456
2.683506966,0,0.402052879
2.687000751,0,0.398100138
2.690483093,0,0.394200355
2.694019794,0,0.39027974
2.699992657,0,0.383726418
2.703549385,0,0.379891545
2.707036018,0,0.376170874
2.710362434,0,0.372656912
2.71598959,0,0.366769493
2.719410419,0,0.363248408
2.722953796,0,0.359637052
2.726976871,0,0.355578482
2.73348856,0,0.349085063
2.737681866,0,0.344981432
2.741075516,0,0.341700107
2.744514465,0,0.338407129
2.750133038,0,0.333079696
2.753591537,0,0.32985276
2.758117676,0,0.325671107
2.761716843,0,0.3223885
2.768001556,0,0.316714853
2.771310329,0,0.313780785
2.775865078,0,0.309779435
2.779388905,0,0.306723386
2.784815311,0,0.302063853
2.788306236,0,0.299111843
2.791696072,0,0.296273291
2.795334339,0,0.293255538
2.800785542,0,0.288779914
2.804238319,0,0.285988063
2.807743073,0,0.28318134
2.811233044,0,0.280413598
2.816635609,0,0.276170462
2.820100307,0,0.273489922
2.82354641,0,0.270849228
2.827017784,0,0.268214405
2.832591057,0,0.264024556
2.836087227,0,0.261436403
2.839536667,0,0.258907259
2.842845917,0,0.256503791
2.848922253,0,0.252130419
2.852360725,0,0.249696568
2.855790138,0,0.247291788
2.859410286,0,0.24477686
2.864943027,0,0.240970895
2.86835146,0,0.238661274
2.871763706,0,0.23637031
2.875321388,0,0.234003618
2.878783226,0,0.231722683
2.884537697,0,0.227966338
2.887972355,0,0.225758821
2.891410828,0,0.223569095
2.894928455,0,0.221349463
2.900336742,0,0.217968732
2.903758526,0,0.215860456
2.907176495,0,0.213773593
2.910693645,0,0.211645558
2.916091919,0,0.208409652
2.919520378,0,0.206383705
2.923038483,0,0.204323485
2.926458359,0,0.202339247
2.932551861,0,0.198835343
2.93590641,0,0.196937069
2.939448833,0,0.194949955
2.943109989,0,0.192915127
2.950196266,0,0.189014003
2.953874111,1,0.149295986
2.957528591,1,0.110222161
2.961116314,1,0.072248176
2.96680975,1,0.012592386
2.970352173,1,-0.023923721
2.974061966,1,-0.061771158
2.977651596,1,-0.097993121
2.984145164,1,-0.162818819
2.987658501,1,-0.197209507
2.991099358,1,-0.230530351
2.995657921,1,-0.274209201
3.00109005,1,-0.325526416
3.004535675,1,-0.357527763
3.008104324,1,-0.390314043
3.011620522,1,-0.422255814
3.017037392,1,-0.470917135
3.020550728,1,-0.501936436
3.024028778,1,-0.532300234
3.027565002,1,-0.562828481
3.033036232,1,-0.6095258
3.036466599,1,-0.638288915
3.039909363,1,-0.666836023
3.043266296,1,-0.694361091
3.049185753,1,-0.742368519
3.052841187,1,-0.771443605
3.056300163,1,-0.798627675
3.059711456,1,-0.825133502
3.065797806,1,-0.871895611
3.069293976,1,-0.898220062
3.072717667,1,-0.923701644
3.076120377,1,-0.948740721
3.082203865,1,-0.993002653
3.085653305,1,-1.017594099
3.089138985,1,-1.042158961
3.092644691,1,-1.066578269
3.098656654,1,-1.107965589
3.102105141,1,-1.131228924
3.105640411,1,-1.154802203
3.109148026,1,-1.177913666
3.115204811,1,-1.217351198
3.118684769,1,-1.239548564
3.122114182,1,-1.261166692
3.125713348,1,-1.283591986
3.12928772,1,-1.305591583
3.134763718,1,-1.338887095
3.13819313,1,-1.359351397
3.14162159,1,-1.379571438
3.145137787,1,-1.400066853
3.150587082,1,-1.431449175
3.154021263,1,-1.450858593
3.157902718,1,-1.472538114
3.161517143,1,-1.492457747
3.167290688,1,-1.523882151
3.170739174,1,-1.542279482
3.174131393,1,-1.560161948
3.177602768,1,-1.578247786
3.183129311,1,-1.606696367
3.18658638,1,-1.624152541
3.190034866,1,-1.641357183
3.193766594,1,-1.659752727
3.200310707,1,-1.691594839
3.203727722,1,-1.7078439
3.207167625,1,-1.724007726
3.211935043,1,-1.746141434
3.217419624,1,-1.771182537
3.220877647,1,-1.786669374
3.224334717,1,-1.801965356
3.227898598,1,-1.817543864
3.233441353,1,-1.841471076
3.237278938,1,-1.857716799
3.240810394,1,-1.872466207
3.245980263,1,-1.893792152
3.251405716,1,-1.915768147
3.254883766,1,-1.929588914
3.258951187,1,-1.94555521
3.262572289,1,-1.959567308
3.267990112,1,-1.98026669
3.271404266,1,-1.993063927
3.274880409,1,-2.005938053
3.278331757,1,-2.018565178
3.283774376,1,-2.03823781
3.287215233,1,-2.050438881
3.290699959,1,-2.062647343
3.29420948,1,-2.074793577
3.299572945,1,-2.093129396
3.303038597,1,-2.104756355
3.306490898,1,-2.116199255
3.309919357,1,-2.127427101
3.315611839,1,-2.145848274
3.319051743,1,-2.156760931
3.322489738,1,-2.167538166
3.325931549,1,-2.178199768
3.331873894,1,-2.196389437
3.335280418,1,-2.206604242
3.338777542,1,-2.216968775
3.342202187,1,-2.226997375
3.348158836,1,-2.244237185
3.351613998,1,-2.254034996
3.355045319,1,-2.263651609
3.358499527,1,-2.273220539
3.361989021,0,-2.249918699
3.367308617,0,-2.214678049
3.370839119,0,-2.191581011
3.374629974,0,-2.166993856
3.378102303,0,-2.144685507
3.384413719,0,-2.104495764
3.387916565,0,-2.082555771
3.391389847,0,-2.061004639
3.395454407,0,-2.036022425
3.40087986,0,-2.00304842
3.404358864,0,-1.982223988
3.409225464,0,-1.953381062
3.415263176,0,-1.918095469
3.418780327,0,-1.897899866
3.422849655,0,-1.874774694
3.426267624,0,-1.855584383
3.432509422,0,-1.820895433
3.436023712,0,-1.801728606
3.439563751,0,-1.782625556
3.443043709,0,-1.764047503
3.449126244,0,-1.731917739
3.452571869,0,-1.714053273
3.456112862,0,-1.695887327
3.459549904,0,-1.678445458
3.46566391,0,-1.647745252
3.469129562,0,-1.630669117
3.472541809,0,-1.614034772
3.476032257,0,-1.597197294
3.482186317,0,-1.567828774
3.485591888,0,-1.551883459
3.48906517,0,-1.535790801
3.492566109,0,-1.519742489
3.498090744,0,-1.49468863
3.50153923,0,-1.47931397
